Date,Open,High,Low,Close
30/11/2014,3286.57,3360.32,3273.68,3350.5
31/12/2014,3352.32,3373.93,3200.63,3365.15
31/1/2015,3364.08,3432.62,3267.89,3391.2
28/2/2015,3398.51,3458.14,3394.54,3402.86
31/3/2015,3408.88,3469.02,3356.66,3447.01
30/4/2015,3439.76,3549.85,3435.59,3487.39
31/5/2015,3479.01,3490.74,3381.79,3392.11
30/6/2015,3375.05,3375.05,3267.68,3317.33
31/7/2015,3317.47,3383.56,3184.57,3202.5
31/8/2015,3205.59,3217.13,2808.31,2921.44
30/9/2015,2915.53,2931.65,2740.36,2790.89
31/10/2015,2795.4,3104.72,2765.44,2998.35
30/11/2015,2976.72,3043.85,2843.95,2855.94
31/12/2015,2862.79,2911.44,2793.39,2882.73
31/1/2016,2889.23,2890.21,2529.01,2629.11
29/2/2016,2637.05,2684.79,2528.44,2666.51
31/3/2016,2666.71,2906.8,2654.98,2840.9
30/4/2016,2829.83,2964.1,2783.73,2838.52
31/5/2016,2842.86,2848.9,2713.47,2791.06
30/6/2016,2787.99,2881.92,2703.48,2840.93
31/7/2016,2848.45,2958.9,2830,2868.69
31/8/2016,2875.59,2898.27,2810.88,2820.59
30/9/2016,2821.93,2911.84,2791.38,2869.47
31/10/2016,2879.85,2901.73,2783.33,2813.87
30/11/2016,2814.08,2915.42,2760.97,2905.17
31/12/2016,2913.65,2980.77,2857.91,2880.76
31/1/2017,2887,3065.13,2869.66,3046.8
28/2/2017,3045.94,3138.97,3030.65,3096.61
31/3/2017,3106.3,3188.02,3104.33,3175.11
30/4/2017,3180.27,3189.81,3113.9,3175.44
31/5/2017,3183.43,3275.39,3183.41,3210.82
30/6/2017,3214.12,3270.92,3196.49,3226.48
31/7/2017,3228.91,3354.71,3196.14,3329.52
31/8/2017,3321.5,3349.09,3244.23,3277.26
30/9/2017,3274.39,3275.14,3193.41,3219.91
31/10/2017,3233.95,3392.15,3230.81,3374.08
30/11/2017,3377.19,3449.32,3341.3,3433.54
31/12/2017,3441.85,3469.36,3370.22,3402.92
31/1/2018,3406.48,3611.69,3403.87,3533.99
28/2/2018,3536.93,3574.59,3340.55,3517.94
31/3/2018,3493.44,3555.98,3382.78,3427.97
30/4/2018,3439.04,3628.43,3338.96,3613.93
31/5/2018,3624.2,3641.65,3428.18,3428.18
30/6/2018,3423.5,3492.34,3237.77,3268.7
31/7/2018,3277.43,3341.42,3176.26,3319.85
31/8/2018,3331.05,3347.98,3187.83,3213.48
30/9/2018,3209.97,3265.01,3102.73,3257.05
31/10/2018,3262.43,3272.88,2955.68,3018.8
30/11/2018,3045.68,3130.71,3007.31,3117.61
31/12/2018,3154.22,3192.88,3000.45,3068.76
31/1/2019,3072.99,3250.27,2993.42,3190.17
28/2/2019,3194.22,3286.08,3174,3212.69
31/3/2019,3210.84,3251.72,3156.79,3212.88
30/4/2019,3229.11,3415.18,3227.62,3400.2
31/5/2019,3389.52,3397.18,3110.51,3117.76
30/6/2019,3111.51,3336.08,3104.03,3321.61
31/7/2019,3339.58,3386.65,3299.89,3300.75
31/8/2019,3282.79,3311.26,3040.16,3106.52
30/9/2019,3092.25,3216.87,3074.04,3119.99
31/10/2019,3130.11,3235.24,3068.83,3229.88
30/11/2019,3227.6,3285.72,3182.05,3193.92
31/12/2019,3198.27,3239.24,3144.07,3222.83
31/1/2020,3230.48,3283.89,3144.1,3153.73
29/2/2020,3131.02,3233.86,3008.46,3011.08
31/3/2020,2988.35,3047.79,2208.42,2481.23
30/4/2020,2468.17,2671.58,2380.84,2624.23
31/5/2020,2555.67,2611.74,2489.94,2510.75
30/6/2020,2519.42,2839.39,2516.46,2589.91
31/7/2020,2604.08,2707.67,2511.02,2529.82
31/8/2020,2522.53,2602.33,2478.39,2532.51
30/9/2020,2521.81,2546.87,2448,2466.62
31/10/2020,2479.29,2570.19,2420.84,2423.84
30/11/2020,2428.98,2920.55,2423.7,2805.95
31/12/2020,2802.94,2878.13,2792.74,2843.81
31/1/2021,2846.2,3017.15,2832.04,2902.52
28/2/2021,2888.75,2976.36,2869.3,2949.04
31/3/2021,2948.69,3204.24,2948.64,3165.34
30/4/2021,3187.17,3237.23,3145.28,3218.27
31/5/2021,3221.79,3221.94,3023.95,3164.28
30/6/2021,3176.71,3188,3089.49,3130.46
31/7/2021,3140.25,3195.25,3095.35,3166.94
31/8/2021,3176.42,3207.99,3050.24,3055.05
30/9/2021,3055.71,3108.53,3037.79,3086.7
31/10/2021,3072.54,3228.05,3044.73,3198.17
30/11/2021,3226.23,3273.54,3041.29,3041.29
31/12/2021,3052.4,3161.95,3045.13,3123.68
31/1/2022,3130.48,3299.64,3127.6,3249.59
28/2/2022,3302.23,3466.23,3214.93,3242.24
31/3/2022,3262.49,3456.09,3128.06,3408.52
30/4/2022,3403.93,3445.9,3303.07,3356.9
31/5/2022,3365.43,3373.15,3165.18,3232.49
30/6/2022,3242.92,3253.15,3072.34,3102.21
31/7/2022,3104.25,3244.29,3088.25,3211.56
31/8/2022,3238.18,3307.29,3205.58,3221.67
30/9/2022,3211.56,3297.59,3098.24,3130.24
31/10/2022,3113,3168.4,2968.87,3093.11
30/11/2022,3107,3308.3,3091.18,3290.49
31/12/2022,3306.49,3313.8,3225.45,3257.7
