year,month_in_yr,open,high,low,close,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_temp
2004,1,1768.78,1912.93,1768.77,1848.36,13,600.9,6.7,26.9
2004,2,1835.12,1902.87,1817.46,1888.63,4,31.9,7.7,27.6
2004,3,1898.09,1904.94,1793.76,1858.92,16,269.4,4.8,27.7
2004,4,1856.8,1906.27,1794.05,1842.03,9,57.1,7.0,28.9
2004,5,1841.39,1882.38,1690.35,1788.66,13,137.6,6.0,28.9
2004,6,1787.38,1844.89,1767.26,1838.0,8,127.2,6.3,29.0
2004,7,1840.31,1895.98,1830.28,1891.71,20,166.6,4.2,27.3
2004,8,1886.98,1942.8,1861.57,1918.34,8,185.2,7.3,28.3
2004,9,1921.48,2007.98,1920.57,1984.74,14,128.9,5.9,27.8
2004,10,1986.96,2021.91,1932.18,1980.69,13,125.6,5.0,27.8
2004,11,1988.8,2050.78,1974.79,2027.66,15,166.2,5.8,27.3
2004,12,2029.28,2076.59,1999.14,2066.14,14,139.8,4.9,26.8
2005,1,2065.15,2101.65,2061.99,2096.32,8,163.2,6.5,26.6
2005,2,2097.66,2172.93,2089.55,2119.4,3,8.4,9.1,28.5
2005,3,2120.94,2191.29,2114.96,2142.75,12,82.4,7.2,28.5
2005,4,2141.38,2186.26,2107.67,2125.25,10,81.7,7.0,28.7
2005,5,2146.04,2187.78,2137.17,2161.77,20,331.1,5.5,28.5
2005,6,2169.46,2230.56,2167.75,2212.66,15,82.3,5.4,28.8
2005,7,2212.91,2362.66,2207.95,2352.56,15,104.0,5.4,28.0
2005,8,2353.57,2399.75,2258.96,2275.43,13,58.5,6.5,28.2
2005,9,2289.58,2325.11,2281.38,2305.14,18,175.7,6.2,28.2
2005,10,2302.03,2356.02,2190.07,2216.77,19,314.5,5.1,27.6
2005,11,2226.71,2322.76,2226.71,2300.25,23,362.9,4.4,27.3
2005,12,2299.4,2355.91,2298.15,2347.34,19,166.0,4.5,27.3
2006,1,2354.59,2440.71,2352.18,2412.08,20,454.4,4.8,26.5
2006,2,2425.66,2490.46,2415.03,2481.96,8,115.5,7.4,27.5
2006,3,2472.03,2541.29,2470.56,2533.39,9,83.1,7.1,28.3
2006,4,2542.77,2620.35,2531.74,2610.71,18,239.8,5.3,27.6
2006,5,2613.87,2666.33,2368.72,2383.87,14,205.7,5.0,28.1
2006,6,2394.36,2446.26,2277.9,2435.38,16,236.8,5.5,27.8
2006,7,2435.35,2456.52,2319.03,2445.42,15,153.8,6.9,28.4
2006,8,2436.63,2492.27,2427.05,2482.38,14,127.3,6.7,28.3
2006,9,2489.21,2576.26,2480.16,2568.86,12,83.3,5.3,28.0
2006,10,2571.45,2754.33,2569.8,2701.75,8,102.0,4.8,28.3
2006,11,2707.41,2860.21,2698.08,2838.53,18,185.6,5.6,27.3
2006,12,2843.63,2991.35,2826.31,2985.83,22,765.9,3.2,26.6
2007,1,3015.74,3173.98,2948.98,3125.56,20,450.1,4.1,26.5
2007,2,3151.27,3316.22,3039.6,3111.93,3,105.5,7.6,27.3
2007,3,3133.87,3250.86,2931.62,3231.24,21,269.1,5.8,27.5
2007,4,3240.07,3452.84,3231.12,3361.29,14,240.2,5.9,28.1
2007,5,3395.57,3559.01,3381.29,3511.12,16,127.2,5.5,28.3
2007,6,3547.63,3652.02,3480.62,3548.2,12,139.0,6.0,28.4
2007,7,3553.48,3688.58,3444.05,3547.65,19,141.7,3.8,27.7
2007,8,3516.03,3525.29,2962.01,3392.9,20,190.7,5.7,27.7
2007,9,3390.84,3726.53,3368.6,3706.23,13,149.0,5.8,27.8
2007,10,3734.93,3906.15,3632.98,3805.7,16,237.2,5.6,27.8
2007,11,3837.77,3842.95,3306.53,3521.27,21,367.9,3.5,26.9
2007,12,3549.47,3621.84,3300.86,3482.3,20,468.6,4.5,26.4
2008,1,3462.68,3474.89,2746.73,2981.75,19,262.6,6.1,26.8
2008,2,3015.89,3129.27,2859.08,3026.45,8,129.2,5.5,26.7
2008,3,2940.87,3058.91,2745.96,3007.36,16,294.1,4.3,26.5
2008,4,3007.36,3235.24,2994.84,3147.79,13,87.2,6.0,28.1
2008,5,3206.72,3269.87,3085.12,3192.62,11,124.9,6.6,28.8
2008,6,3188.22,3214.62,2922.87,2947.54,12,118.3,5.6,28.2
2008,7,2960.43,2997.82,2819.64,2929.64,15,89.1,4.9,27.8
2008,8,2893.98,2911.83,2688.32,2739.95,18,327.3,5.5,27.4
2008,9,2718.07,2763.41,2239.75,2358.91,18,164.4,5.1,27.7
2008,10,2371.07,2398.67,1473.77,1794.2,19,159.5,4.5,27.6
2008,11,1838.28,1933.51,1570.23,1732.57,16,324.3,4.0,27.3
2008,12,1709.51,1844.03,1638.67,1761.56,17,244.2,4.8,26.9
2009,1,1781.51,1959.95,1677.06,1746.47,5,38.3,6.6,26.8
2009,2,1734.23,1746.93,1567.22,1594.87,8,201.8,6.4,27.3
2009,3,1566.81,1779.04,1455.47,1699.99,19,223.3,5.5,27.2
2009,4,1696.4,1947.3,1689.87,1920.28,12,183.7,6.2,28.5
2009,5,1939.46,2347.37,1930.6,2329.08,17,198.6,6.6,28.7
2009,6,2341.48,2424.52,2211.81,2333.14,8,21.8,7.0,29.1
2009,7,2329.37,2659.2,2235.45,2659.2,16,161.0,6.2,28.3
2009,8,2648.17,2700.78,2521.36,2592.9,12,177.8,6.5,28.3
2009,9,2601.88,2707.24,2560.15,2672.57,13,109.6,5.6,28.3
2009,10,2662.74,2739.55,2576.84,2651.13,15,133.4,5.4,28.2
2009,11,2621.52,2803.85,2616.49,2732.12,23,281.8,4.7,27.2
2009,12,2750.35,2897.62,2743.36,2897.62,18,189.8,4.7,27.1
2010,1,2891.35,2947.08,2706.26,2745.35,10,69.5,7.1,27.5
2010,2,2742.23,2797.0,2665.97,2746.43,4,6.3,8.8,28.9
2010,3,2762.98,2937.8,2749.74,2887.46,11,238.0,6.1,28.6
2010,4,2898.76,3037.97,2898.21,2974.61,18,158.5,6.2,28.6
2010,5,2956.17,2959.7,2648.15,2752.6,17,157.5,6.5,29.2
2010,6,2741.67,2890.09,2710.8,2835.51,19,240.5,5.1,28.3
2010,7,2819.74,3018.26,2819.74,2987.7,18,298.5,4.6,27.7
2010,8,3011.84,3043.28,2910.21,2950.33,16,158.4,5.4,27.9
2010,9,2958.47,3125.72,2958.47,3097.63,13,121.5,5.7,28.0
2010,10,3106.92,3220.71,3101.46,3142.62,17,166.2,4.2,28.3
2010,11,3150.89,3313.61,3118.62,3144.7,21,278.8,5.0,27.4
2010,12,3144.75,3220.89,3121.07,3190.04,14,181.4,3.6,26.8
2011,1,3211.22,3280.77,3177.78,3179.72,17,513.2,4.5,26.3
2011,2,3188.93,3232.99,2965.24,3010.51,8,23.0,7.5,27.3
2011,3,3027.67,3115.47,2919.98,3105.85,22,256.6,4.6,27.1
2011,4,3107.9,3208.34,3103.22,3179.86,12,217.8,7.2,27.9
2011,5,3180.68,3182.46,3078.26,3159.93,15,127.0,5.9,28.5
2011,6,3161.87,3181.53,2999.19,3120.44,15,213.0,5.0,28.4
2011,7,3131.74,3200.56,3056.71,3189.26,7,76.6,7.8,28.7
2011,8,3205.76,3227.28,2680.83,2885.26,13,81.4,6.1,27.9
2011,9,2886.75,2910.28,2627.24,2675.16,14,136.4,5.1,27.8
2011,10,2642.68,2905.72,2521.95,2855.77,20,216.8,5.3,27.3
2011,11,2832.37,2880.12,2643.54,2702.46,24,377.8,4.6,27.1
2011,12,2774.01,2793.08,2606.52,2646.35,21,284.6,3.3,26.6
2012,1,2658.17,2917.59,2657.77,2906.69,16,106.1,6.0,26.7
2012,2,2900.27,3031.45,2883.49,2994.06,11,83.6,7.0,27.2
2012,3,3000.43,3035.78,2909.16,3010.46,21,313.4,4.2,27.0
2012,4,3013.37,3033.15,2946.29,2978.57,20,260.6,5.8,27.6
2012,5,2986.94,3013.11,2758.41,2772.54,19,292.0,5.6,28.2
2012,6,2758.14,2897.96,2698.9,2878.45,8,53.0,6.0,28.7
